Guid,SBQQ__LookupField__c,SBQQ__MatchType__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__PriceRule2__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedValue__c
bb21ef85-10b7-4e0c-86e4-1fbc421160ae,Approval_Level__c,Static Value,equals,false,da447496-4e6f-4a7d-8a15-72732109a2a1,Approval_Threshold__c,true,#N/A,#N/A,3
3a8210fe-6cd1-4769-8ae1-b9eb2f4f2498,Product__c,Field Value,equals,false,69f313b8-d6c2-4f04-9c56-e5bdd531d10c,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
ef98ea00-a913-4bdb-b2e2-e94c06d27229,Role__c,Field Value,equals,false,341d60d1-5365-4fcb-a356-a52b2b38e157,Professional_Services_Rate__c,true,SBQQ__Product__c,Quote Line,#N/A
7a703ff1-e1ce-4553-9535-3c98f5c71a32,Resource_Location__c,Field Value,equals,false,5a6f0ffa-c44f-4c1a-b33c-de3816b8328d,Professional_Services_Rate__c,true,Resource_Location__c,Quote Line,#N/A
62c6a50d-9aa0-49e1-8c01-83270c997901,Approval_Level__c,Static Value,equals,false,69f313b8-d6c2-4f04-9c56-e5bdd531d10c,Approval_Threshold__c,true,#N/A,#N/A,3
2e09241c-aa1a-433b-a5d1-98841b8e85d2,Resource_Location__c,Field Value,equals,false,341d60d1-5365-4fcb-a356-a52b2b38e157,Professional_Services_Rate__c,true,Resource_Location__c,Quote Line,#N/A
5833086b-9fdc-435a-8f38-7c406fe3eb69,Product__c,Field Value,equals,false,27c8740f-f6b8-45bf-9340-44989be5c83f,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
1123a827-f453-4351-9f69-c47906f1d85d,Product__c,Field Value,equals,false,f179679d-0dd2-47d5-b9fd-63a8c18aae33,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
613de5b6-b849-4a43-b89a-f459a7f3ba23,Upper_Bound_Percent__c,Field Value,less than,false,ec524a03-1e8a-4ee6-8247-591b7d5d6da0,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
7602e994-7be0-4f5a-b217-9bf7376dd159,Engineering_Options__c,Field Value,equals,false,c03b4be9-4f92-46b5-8b67-bb809c9379f9,Professional_Services_Rate__c,true,Engineering_Options__c,Quote Line,#N/A
9223f826-dfc6-4272-a86f-986e75a8620f,Product__c,Field Value,equals,false,3b272faf-ed20-413e-ac04-7ae07897ebf3,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
16d98824-6eb3-4c83-9cea-e6ac9bac529b,Approval_Level__c,Static Value,equals,false,c71d095b-3473-4d5f-b3b0-62735f85ca51,Approval_Threshold__c,true,#N/A,#N/A,1
912cf13e-4bd8-4f19-951c-8aca18eec0bf,Approval_Level__c,Static Value,equals,false,3b272faf-ed20-413e-ac04-7ae07897ebf3,Approval_Threshold__c,true,#N/A,#N/A,2
